sEth,dEth,typEth,proto,sPort,dPort,Source,Destination,action
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,dcape-na.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,softwareupdates.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,3.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.22/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,1900,*,239.255.255.250/32,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,ntp-g7g.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,todo-ta-g7g.amazon.com,forward
*,*,0x0800,1,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.example.org,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,pindorama-us-west-2.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,tinytts-us-west-2.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,208.67.220.220/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,device-fingerprintdb-v1.s3.amazonaws.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,api.amazonalexa.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.example.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,1.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.meethue.com,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,2.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,kindle-time.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,device-metrics-us.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,files.whooshkaa.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,5353,*,224.0.0.251/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,33434,*,pins.amazon.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,media.whooshkaa.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,0.north-america.pool.ntp.org,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.example.net,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,3.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,ntp-g7g.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,api.amazonalexa.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,tinytts-us-west-2.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,2.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,todo-ta-g7g.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,1.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,0.north-america.pool.ntp.org,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.example.com,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,53,*,208.67.220.220/32,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,device-metrics-us.amazon.com,*,forward
*,*,0x0800,1,*,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,device-fingerprintdb-v1.s3.amazonaws.com,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,dcape-na.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,www.meethue.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,files.whooshkaa.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,33434,*,pins.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,kindle-time.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,media.whooshkaa.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,softwareupdates.amazon.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.example.net,*,forward
*,*,0x0800,17,*,50000,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,www.example.org,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,pindorama-us-west-2.amazon.com,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv2.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,iconfig.august.com,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv12.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,vcsv2.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,8.8.4.4/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv3.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,doorbells.august.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv7.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,v2servers.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,8.8.8.8/32,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv11.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv222.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,august.pubnub.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,logger.august.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,s3-us-west-2.amazonaws.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv4.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,doorbells.august.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rbs-sticky.august.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv1.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv10.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,rpsv5.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,dmsv2.video-cloud.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,8.8.8.8/32,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv7.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,august.pubnub.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv2.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,s3-us-west-2.amazonaws.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,logger.august.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,336971aac5bba454b967-3ec27f5c732731b07836c69a45967ad6.ssl.cf1.rackcdn.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv11.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,dmsv2.video-cloud.net,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,doorbells.august.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,53,*,8.8.8.8/32,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv1.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv4.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv3.video-cloud.net,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,v2servers.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,iconfig.august.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv222.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv10.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,doorbells.august.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,vcsv2.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv5.video-cloud.net,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,8.8.8.8/32,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,8.8.4.4/32,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rbs-sticky.august.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,rpsv12.video-cloud.net,*,forward
*,*,*,17,*,547,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,17,*,53,*,*,forward
*,*,*,0,*,*,*,*,forward
*,*,*,17,*,53,*,*,forward
*,*,*,58,*,*,*,*,forward
*,*,*,17,547,*,*,*,forward
*,*,*,17,53,*,*,*,forward
*,*,*,17,53,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0800,17,*,67,*,*,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,ota.awair.is,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,timeserver.awair.is,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,8883,*,messaging.awair.is,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,8.8.8.8/32,forward
*,9e:8d:de:80:29:28,0x0800,6,8883,*,messaging.awair.is,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,timeserver.awair.is,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,53,*,8.8.8.8/32,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,ota.awair.is,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,origin.belkin-us.tendplatform.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,8443,*,api.xbcs.net,forward
*,*,0x0800,6,*,5104,*,*,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,1900,*,239.255.255.250/32,forward
*,*,0x0800,6,*,3478,*,*,forward
*,*,0x0800,1,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,ping.seedonk.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,3475,*,prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,8899,*,devices.xbcs.net,forward
*,*,0x0800,6,9207,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,time.windows.com,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,239.255.255.250/32,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,5104,*,origin.belkin-us.tendplatform.com,forward
*,*,0x0800,6,49154,*,*,*,forward
*,*,0x0800,17,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,3475,*,nat.xbcs.net,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.2/32,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,www.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,8.8.8.8/32,forward
*,*,0x0800,6,49153,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,ping.seedonk.com,*,forward
*,*,0x0800,1,*,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,origin.belkin-us.tendplatform.com,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,5104,*,origin.belkin-us.tendplatform.com,*,forward
*,*,0x0800,6,*,49153,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,8899,*,devices.xbcs.net,*,forward
*,*,0x0800,6,*,9207,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,123,*,time.windows.com,*,forward
*,*,0x0800,6,*,49154,*,*,forward
*,*,0x0800,17,*,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,1,*,*,www.google.com,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,*,0x0800,6,5104,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,17,53,*,8.8.8.8/32,*,forward
*,9e:8d:de:80:29:28,0x0800,6,3475,*,prod1-nat-xbcs-net-1543133972.us-east-1.elb.amazonaws.com,*,forward
*,*,0x0800,6,3478,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,3475,*,nat.xbcs.net,*,forward
*,9e:8d:de:80:29:28,0x0800,6,8443,*,api.xbcs.net,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.1/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,8777,*,tech.carematix.com,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,8777,*,tech.carematix.com,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,h.canaryis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,m.canaryis.com,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,ipv4.connman.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,b.canaryis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,09-wl2-d-prod.canaryis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,v.canaryis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,o.canaryis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,i.canaryis.com,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,i.canaryis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,h.canaryis.com,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,i.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,b.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,i.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,09-wl2-d-prod.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,h.canaryis.com,*,forward
*,*,0x0800,17,53,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,o.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,h.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,ipv4.connman.net,*,forward
*,*,0x0800,17,67,*,*,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,v.canaryis.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,m.canaryis.com,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
*,*,0x888e,*,*,*,*,*,forward
*,*,0x0006,*,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,ad.doubleclick.net,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.251/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,pagead2.googlesyndication.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,www.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,ajax.googleapis.com,forward
*,*,0x0800,17,*,53,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,storage.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,googleads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,tools.google.com,forward
*,*,0x0800,6,8009,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r1---sn-55goxu-ntqe.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,53,*,8.8.8.8/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,android.clients.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,yt3.ggpht.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,www.youtube-nocookie.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,ssl.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,tools.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ad.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,ssl.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,123,*,time.google.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,8.8.8.8/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,fonts.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients4.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh6.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,lh5.googleusercontent.com,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,239.255.255.250/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,connectivitycheck.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,android.clients.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,i.ytimg.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,ade.googlesyndication.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,fonts.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,clients4.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,fonts.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,lh3.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,fonts.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,www.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r2---sn-ntq7yned.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r4---sn-ntqe6n76.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,tools.google.com,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.22/32,forward
9e:8d:de:80:29:28,*,0x0800,17,*,1900,*,239.255.255.250/32,forward
9e:8d:de:80:29:28,ff:ff:ff:ff:ff:ff,0x0800,17,*,67,*,255.255.255.255/32,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,5228,*,mtalk.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,storage.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,android.clients.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,r3---sn-55goxu-ntqe.googlevideo.com,forward
*,*,0x0800,1,*,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh4.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,android.clients.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,pagead2.googlesyndication.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,cdn.ravenjs.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,www.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,yt3.ggpht.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh3.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,googleads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,lh6.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,5353,*,224.0.0.251/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,fonts.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients4.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,connectivitycheck.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,*,2,*,*,*,224.0.0.2/32,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,r1---sn-55goxu-ntqe.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ajax.googleapis.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients1.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,secure.insightexpressai.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,cast.scdn.co,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,securepubads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,tools.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,clients4.google.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,api-partner.spotify.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.youtube.com,forward
9e:8d:de:80:29:28,*,0x0800,1,*,*,*,clients2.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ssl.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,ade.googlesyndication.com,forward
*,*,0x0800,17,*,67,*,*,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,r4---sn-ntqe6n76.googlevideo.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,80,*,clients3.google.com,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,lh5.googleusercontent.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,www.youtube-nocookie.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,connectivitycheck.gstatic.com,forward
9e:8d:de:80:29:28,*,0x0800,6,*,443,*,lh4.googleusercontent.com,forward
*,*,0x0800,6,8008,*,*,*,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,securepubads.g.doubleclick.net,forward
9e:8d:de:80:29:28,*,0x0800,17,*,443,*,i.ytimg.com,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,ssl.gstatic.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,cast.scdn.co,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,www.youtube.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,lh4.googleusercontent.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,android.clients.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,clients2.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,www.youtube-nocookie.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,80,*,clients3.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,clients3.google.com,*,forward
*,9e:8d:de:80:29:28,0x0800,17,443,*,r2---sn-ntq7yned.googlevideo.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,www.gstatic.com,*,forward
*,9e:8d:de:80:29:28,0x0800,6,443,*,googleads.g.doubleclick.net,*,forward
*,*,0x0800,17,67,*,*,*,forward
